,smiles,pchembl
223,O=C(C1SC(n2cnc3c2nc(Cl)nc3NCc2cccc(I)c2)C(O)C1O)N1CCSCC1,6.06
224,CCOc1c2oc(=O)c(-c3cc(OC)c(OC)cc3)cc2ccc1,4.86
225,N#Cc1c(N)nc(-c2ccco2)cc1-c1cc2c(cc1)OCO2,6.41
226,COc1ccc(-c2cc(=O)c3c(cc(C)cc3O)o2)cc1,5.17
227,Cn1cc2c(n1)nc(NCc1ccc(Cl)cc1)n1nc(-c3ccco3)nc21,8.7
228,CCn1cc2c(n1)nc(NC(=O)Cc1cccs1)n1nc(-c3ccco3)nc21,6.71
229,Cn1cnc2c1nc(C#Cc1ccc(Cl)s1)nc2NCCc1ccccc1,6.94
230,Nc1nc(NCCc2ccc(S(N)(=O)=O)cc2)nc2c1nc(-c1ccco1)s2,5.73
231,O=C(Nc1nc(-c2ccccc2)nc2c1nc(-c1ccco1)s2)c1ccccc1,7.5
232,Cn1cc2c(n1)nc(NC(=O)Nc1ccc(CC(=O)OCCOCCOCCN)cc1)n1nc(-c3ccco3)nc21,7.72
233,Cn1cc2c(n1)c(N)nc1c2cccc1OCc1ccccc1,6.3
234,Nc1nc(-c2ccc(NCC(=O)c3ccc(S(N)(=O)=O)cc3)cc2)cn2c(=O)n(-c3ccccc3)nc12,5.17
235,CC(C)Nc1nc2nc(-c3ccco3)nn2c(NC(=O)c2ccccc2)n1,4.87
236,CCOC(O)=C1C(C)=NC(C2CCCCC2)=C(C(=O)OCc2ccccc2)C1C#Cc1ccccc1,6.64
237,OCC12CC1C(n1cnc3c1nc(Cl)nc3NC1CCCC1)C(O)C2O,6.33
238,CC(C)CCn1cc2c(n1)nc(NC(=O)Cc1c(Cl)cccc1Cl)n1nc(-c3ccco3)nc21,6.68
239,COc1ccc(-n2cc3nc(C)nc(O)c3n2)cc1,8.6
240,Cc1ccccc1-c1nc2c(ncnc2NC2CCCC2)n1C,5.52
241,Nc1c2nc(-c3ccco3)sc2nc(NCc2cccc(F)c2)n1,7.46
242,CCOC(=O)c1cnc(NC2CCCCCC2)n2nc(-c3ccco3)nc12,6.49
